STT,Từ khóa,Mã loại,Tên loại,Danh_sach_tu_khoa,Danh_sach_tu_khoa_chuan,Text_TFIDF
1,"giáo viên, ngã, bể đầu, nguy kịch, chuyển ngay, tiền, phẫu thuật gấp, lớp, bệnh viện, thầy giáo nhờ, quên thẻ giáo viên, cấm chụp, bác sĩ bận mổ, phòng cấp cứu đặc biệt, làm gấp kẻo không kịp",8,Lừa đảo liên quan sức khỏe,"[""giáo_viên"", ""ngã"", ""bể_đầu"", ""nguy_kịch"", ""chuyển_ngay"", ""phẫu_thuật_gấp"", ""lớp"", ""bệnh_viện"", ""thầy_giáo_nhờ"", ""quên_thẻ_giáo_viên"", ""cấm_chụp"", ""bác_sĩ_bận_mổ"", ""phòng_cấp_cứu_đặc_biệt"", ""làm_gấp_kẻo_không_kịp""]","[""giáo_viên"", ""ngã"", ""bể_đầu"", ""nguy_kịch"", ""chuyển_ngay"", ""phẫu_thuật"", ""gấp"", ""lớp"", ""bệnh_viện"", ""thầy_giáo"", ""nhờ"", ""quên"", ""thẻ"", ""cấm_chụp"", ""bác_sĩ"", ""bận"", ""mổ"", ""phòng"", ""cấp_cứu"", ""đặc_biệt"", ""làm_gấp_kẻo_không_kịp""]",giáo_viên ngã bể_đầu nguy_kịch chuyển_ngay phẫu_thuật gấp lớp bệnh_viện thầy_giáo nhờ quên thẻ cấm_chụp bác_sĩ bận mổ phòng cấp_cứu đặc_biệt làm_gấp_kẻo_không_kịp
2,"giảng viên, bị ngã, cấp cứu, nguy kịch, nghiêm trọng, khoa chấn thương, sọ não, phẫu thuật gấp, thông tin cá nhân, mã xác thực, chuyển tiền, tạm ứng, viện phí, khẩn cấp, ảnh hưởng, tính mạng, hồ sơ, bị hủy, chuyển thêm",8,Lừa đảo liên quan sức khỏe,"[""giảng_viên"", ""bị_ngã"", ""cấp_cứu"", ""nguy_kịch"", ""nghiêm_trọng"", ""khoa_chấn_thương"", ""sọ_não"", ""phẫu_thuật_gấp"", ""thông_tin_cá_nhân"", ""mã_xác_thực"", ""tạm_ứng"", ""viện_phí"", ""khẩn_cấp"", ""ảnh_hưởng"", ""tính_mạng"", ""bị_hủy"", ""chuyển_thêm""]","[""giảng_viên"", ""bị_ngã"", ""cấp_cứu"", ""nguy_kịch"", ""nghiêm_trọng"", ""khoa"", ""chấn_thương"", ""sọ_não"", ""phẫu_thuật"", ""gấp"", ""thông_tin"", ""cá_nhân"", ""mã_otp"", ""tạm_ứng"", ""viện_phí"", ""khẩn_cấp"", ""ảnh_hưởng"", ""tính_mạng"", ""bị_hủy"", ""chuyển_thêm""]",giảng_viên bị_ngã cấp_cứu nguy_kịch nghiêm_trọng khoa chấn_thương sọ_não phẫu_thuật gấp thông_tin cá_nhân mã_otp tạm_ứng viện_phí khẩn_cấp ảnh_hưởng tính_mạng bị_hủy chuyển_thêm
3,"thầy, giáo viên chủ nhiệm, tai nạn, va đập mạnh, chấn thương, sọ não, bệnh viện, mổ, phút, tình trạng, nghiêm trọng, phòng mổ, sẵn sàng, tạm ứng, tiền, phút, chyển khoản, số tài khoản, khẩn cấp, nguy hiểm, tính mạng",8,Lừa đảo liên quan sức khỏe,"[""thầy"", ""giáo_viên_chủ_nhiệm"", ""tai_nạn"", ""va_đập_mạnh"", ""chấn_thương"", ""sọ_não"", ""bệnh_viện"", ""mổ"", ""phút"", ""tình_trạng"", ""nghiêm_trọng"", ""phòng_mổ"", ""sẵn_sàng"", ""tạm_ứng"", ""phút"", ""chyển_khoản"", ""số_tài_khoản"", ""khẩn_cấp"", ""nguy_hiểm"", ""tính_mạng""]","[""thầy"", ""giáo_viên"", ""chủ_nhiệm"", ""tai_nạn"", ""va_đập"", ""mạnh"", ""chấn_thương"", ""sọ_não"", ""bệnh_viện"", ""mổ"", ""phút"", ""tình_trạng"", ""nghiêm_trọng"", ""phòng_mổ"", ""sẵn_sàng"", ""tạm_ứng"", ""chyển_khoản"", ""số"", ""tài_khoản"", ""khẩn_cấp"", ""nguy_hiểm"", ""tính_mạng""]",thầy giáo_viên chủ_nhiệm tai_nạn va_đập mạnh chấn_thương sọ_não bệnh_viện mổ phút tình_trạng nghiêm_trọng phòng_mổ sẵn_sàng tạm_ứng chyển_khoản số tài_khoản khẩn_cấp nguy_hiểm tính_mạng
4,"chuyên viên, thanh tra, sở Y tế, hồ sơ, sức khỏe, đau nhức xương khớp, thuốc, nhập khẩu, độc quyền, Bộ Y Tế, chứng nhận, phân phối, thử nghiệm, phục hồi, nhanh chóng, hoàn tiền, tem niêm phong, hóa đơn, ưu đãi, tiền, phút, suất ưu tiên, có giới hạn, số tài khoản",8,Lừa đảo liên quan sức khỏe,"[""chuyên_viên"", ""thanh_tra"", ""sở_y_tế"", ""sức_khỏe"", ""đau_nhức_xương_khớp"", ""thuốc"", ""nhập_khẩu"", ""độc_quyền"", ""bộ_y_tế"", ""chứng_nhận"", ""phân_phối"", ""thử_nghiệm"", ""phục_hồi"", ""nhanh_chóng"", ""hoàn_tiền"", ""tem_niêm_phong"", ""hóa_đơn"", ""ưu_đãi"", ""phút"", ""suất_ưu_tiên"", ""có_giới_hạn"", ""số_tài_khoản""]","[""chuyên_viên"", ""thanh_tra"", ""sở"", ""y_tế"", ""sức_khỏe"", ""đau_nhức_xương_khớp"", ""thuốc"", ""nhập_khẩu"", ""độc_quyền"", ""bộ"", ""chứng_nhận"", ""phân_phối"", ""thử_nghiệm"", ""phục_hồi"", ""nhanh_chóng"", ""hoàn_tiền"", ""tem"", ""niêm_phong"", ""hóa_đơn"", ""ưu_đãi"", ""phút"", ""suất"", ""ưu_tiên"", ""có"", ""giới_hạn"", ""số"", ""tài_khoản""]",chuyên_viên thanh_tra sở y_tế sức_khỏe đau_nhức_xương_khớp thuốc nhập_khẩu độc_quyền bộ chứng_nhận phân_phối thử_nghiệm phục_hồi nhanh_chóng hoàn_tiền tem niêm_phong hóa_đơn ưu_đãi phút suất ưu_tiên có giới_hạn số tài_khoản
5,"ngã, đập đầu, máu me, hôn mê, cấp cứu, khẩn cấp, bệnh viện, chuyển tiền, tiền, phẫu thuật gấp, chuyển tiền, tỷ lệ sống, %, không mổ kịp, báo công an, đóng thêm, kiện tụng, tạm giữ, giấy tờ, không gọi cho ai",8,Lừa đảo liên quan sức khỏe,"[""ngã"", ""đập_đầu"", ""máu_me"", ""hôn_mê"", ""cấp_cứu"", ""khẩn_cấp"", ""bệnh_viện"", ""phẫu_thuật_gấp"", ""tỷ_lệ_sống"", ""không_mổ_kịp"", ""báo_công_an"", ""đóng_thêm"", ""kiện_tụng"", ""tạm_giữ"", ""giấy_tờ"", ""không_gọi_cho_ai""]","[""ngã"", ""đập_đầu"", ""máu_me"", ""hôn_mê"", ""cấp_cứu"", ""khẩn_cấp"", ""bệnh_viện"", ""phẫu_thuật"", ""gấp"", ""tỷ_lệ"", ""sống"", ""không_mổ_kịp"", ""báo_công_an"", ""đóng_thêm"", ""kiện_tụng"", ""tạm_giữ"", ""giấy_tờ"", ""không_gọi_cho_ai""]",ngã đập_đầu máu_me hôn_mê cấp_cứu khẩn_cấp bệnh_viện phẫu_thuật gấp tỷ_lệ sống không_mổ_kịp báo_công_an đóng_thêm kiện_tụng tạm_giữ giấy_tờ không_gọi_cho_ai
6,"nhân viên, trung tâm, kiểm soát, dịch Covid-19, mắc Covid-19, xử lý ngay, đến gặp ngay, cách ly, lập tức, chuyển tiền, tránh cách ly, cách duy nhất, hành động, ngay bây giờ, không có thời gian, nghiêm trọng, sức khỏe, chuyển tiền",8,Lừa đảo liên quan sức khỏe,"[""nhân_viên"", ""trung_tâm"", ""kiểm_soát"", ""dịch_covid19"", ""mắc_covid19"", ""xử_lý_ngay"", ""đến_gặp_ngay"", ""cách_ly"", ""lập_tức"", ""tránh_cách_ly"", ""cách_duy_nhất"", ""hành_động"", ""ngay_bây_giờ"", ""không_có_thời_gian"", ""nghiêm_trọng"", ""sức_khỏe""]","[""nhân_viên"", ""trung_tâm"", ""kiểm_soát"", ""dịch_covid19"", ""mắc_covid19"", ""xử_lý"", ""ngay"", ""đến_gặp_ngay"", ""cách_ly"", ""lập_tức"", ""tránh"", ""cách"", ""duy_nhất"", ""hành_động"", ""không"", ""có"", ""thời_gian"", ""nghiêm_trọng"", ""sức_khỏe""]",nhân_viên trung_tâm kiểm_soát dịch_covid19 mắc_covid19 xử_lý ngay đến_gặp_ngay cách_ly lập_tức tránh cách duy_nhất hành_động không có thời_gian nghiêm_trọng sức_khỏe
7,"nhân viên ngân hàng, tài khoản, giao dịch, bất thường, cung cấp, mã OTP, khóa, mất tiền, tiền, bị rút, xử lý, link, phút",2,Lừa đảo tài chính – ngân hàng,"[""nhân_viên_ngân_hàng"", ""giao_dịch"", ""bất_thường"", ""cung_cấp"", ""mã_otp"", ""khóa"", ""mất_tiền"", ""bị_rút"", ""xử_lý"", ""phút""]","[""nhân_viên"", ""ngân_hàng"", ""giao_dịch"", ""bất_thường"", ""cung_cấp"", ""mã_otp"", ""khóa"", ""mất_tiền"", ""bị_rút"", ""xử_lý"", ""phút""]",nhân_viên ngân_hàng giao_dịch bất_thường cung_cấp mã_otp khóa mất_tiền bị_rút xử_lý phút
8,"ship, shipper, đơn hàng, một triệu, chuyển một triệu, chuyển nhầm, tài khoản hệ thống chung, làm thủ tục hoàn tiền, gọi quản lý, link hỗ trợ, bật ghi màn hình, ghi âm kiểm tra, đăng nhập ngân hàng, nhập mã vào ô số tiền, bấm xác nhận, hệ thống xử lý, làm nhiều rồi, hoàn tất vài bước, lấy lại được, nếu anh không làm, tiền khó lấy lại, tiền bị trừ nhiều hơn",7,Giả mạo người giao hàng,"[""ship"", ""shipper"", ""đơn_hàng"", ""một_triệu"", ""chuyển_một_triệu"", ""chuyển_nhầm"", ""tài_khoản_hệ_thống_chung"", ""làm_thủ_tục_hoàn_tiền"", ""gọi_quản_lý"", ""link_hỗ_trợ"", ""bật_ghi_màn_hình"", ""ghi_âm_kiểm_tra"", ""đăng_nhập_ngân_hàng"", ""nhập_mã_vào_ô_số_tiền"", ""bấm_xác_nhận"", ""hệ_thống_xử_lý"", ""làm_nhiều_rồi"", ""hoàn_tất_vài_bước"", ""lấy_lại_được"", ""nếu_anh_không_làm"", ""tiền_khó_lấy_lại"", ""tiền_bị_trừ_nhiều_hơn""]","[""ship"", ""shipper"", ""đơn_hàng"", ""một_triệu"", ""chuyển_một_triệu"", ""chuyển_nhầm"", ""tài_khoản"", ""hệ_thống"", ""chung"", ""làm"", ""thủ_tục"", ""hoàn"", ""tiền"", ""gọi"", ""quản_lý"", ""link"", ""hỗ_trợ"", ""bật"", ""ghi"", ""màn_hình"", ""ghi_âm"", ""kiểm_tra"", ""đăng_nhập"", ""ngân_hàng"", ""nhập_mã_vào_ô_số_tiền"", ""bấm"", ""xác_nhận"", ""xử_lý"", ""làm_nhiều_rồi"", ""hoàn_tất"", ""vài"", ""bước"", ""lấy_lại_được"", ""nếu_anh_không_làm"", ""tiền_khó_lấy_lại"", ""tiền_bị_trừ_nhiều_hơn""]",ship shipper đơn_hàng một_triệu chuyển_một_triệu chuyển_nhầm tài_khoản hệ_thống chung làm thủ_tục hoàn tiền gọi quản_lý link hỗ_trợ bật ghi màn_hình ghi_âm kiểm_tra đăng_nhập ngân_hàng nhập_mã_vào_ô_số_tiền bấm xác_nhận xử_lý làm_nhiều_rồi hoàn_tất vài bước lấy_lại_được nếu_anh_không_làm tiền_khó_lấy_lại tiền_bị_trừ_nhiều_hơn
9,"giao đơn, đơn giày cao gót, để chỗ cũ, gửi số tài khoản, chuyển nhầm tài khoản, app dịch vụ, tự động trừ, 3,5 triệu, gọi quản lý, link hỗ trợ, bật ghi màn hình, ghi âm kiểm tra, đăng nhập ngân hàng, nhập mã vào ô số tiền, bấm xác nhận, hoàn tất vài bước, lấy lại được, tiền bị trừ nhiều hơn",7,Giả mạo người giao hàng,"[""giao_đơn"", ""đơn_giày_cao_gót"", ""để_chỗ_cũ"", ""gửi_số_tài_khoản"", ""chuyển_nhầm_tài_khoản"", ""app_dịch_vụ"", ""tự_động_trừ"", ""3"", ""5_triệu"", ""gọi_quản_lý"", ""link_hỗ_trợ"", ""bật_ghi_màn_hình"", ""ghi_âm_kiểm_tra"", ""đăng_nhập_ngân_hàng"", ""nhập_mã_vào_ô_số_tiền"", ""bấm_xác_nhận"", ""hoàn_tất_vài_bước"", ""lấy_lại_được"", ""tiền_bị_trừ_nhiều_hơn""]","[""giao_đơn"", ""đơn_giày_cao_gót"", ""để_chỗ_cũ"", ""gửi"", ""số"", ""tài_khoản"", ""chuyển"", ""nhầm"", ""app"", ""dịch_vụ"", ""tự_động"", ""trừ"", ""3"", ""5_triệu"", ""gọi"", ""quản_lý"", ""link"", ""hỗ_trợ"", ""bật"", ""ghi"", ""màn_hình"", ""ghi_âm"", ""kiểm_tra"", ""đăng_nhập"", ""ngân_hàng"", ""nhập_mã_vào_ô_số_tiền"", ""bấm"", ""xác_nhận"", ""hoàn_tất"", ""vài"", ""bước"", ""lấy_lại_được"", ""tiền_bị_trừ_nhiều_hơn""]",giao_đơn đơn_giày_cao_gót để_chỗ_cũ gửi số tài_khoản chuyển nhầm app dịch_vụ tự_động trừ 3 5_triệu gọi quản_lý link hỗ_trợ bật ghi màn_hình ghi_âm kiểm_tra đăng_nhập ngân_hàng nhập_mã_vào_ô_số_tiền bấm xác_nhận hoàn_tất vài bước lấy_lại_được tiền_bị_trừ_nhiều_hơn
10,"giao đơn, đặt ốp lưng, 20k, chuyển trước, quy định mới, tránh mất mát, chuyển nhầm, tài khoản VIP, tiền bị khóa, lỗi kỹ thuật, link, kích hoạt lại, lấy tiền về, nhập thông tin ngân hàng, xác thực thôi, tiền bị treo, nhanh lắm",7,Giả mạo người giao hàng,"[""giao_đơn"", ""đặt_ốp_lưng"", ""20k"", ""chuyển_trước"", ""quy_định_mới"", ""tránh_mất_mát"", ""chuyển_nhầm"", ""tài_khoản_vip"", ""tiền_bị_khóa"", ""lỗi_kỹ_thuật"", ""kích_hoạt_lại"", ""lấy_tiền_về"", ""nhập_thông_tin_ngân_hàng"", ""xác_thực_thôi"", ""tiền_bị_treo"", ""nhanh_lắm""]","[""giao_đơn"", ""đặt_ốp_lưng"", ""20k"", ""chuyển_trước"", ""quy_định"", ""mới"", ""tránh"", ""mất_mát"", ""chuyển_nhầm"", ""tài_khoản"", ""vip"", ""tiền_bị_khóa"", ""lỗi"", ""kỹ_thuật"", ""kích_hoạt"", ""lại"", ""lấy_tiền_về"", ""nhập"", ""thông_tin"", ""ngân_hàng"", ""xác_thực"", ""thôi"", ""tiền_bị_treo"", ""nhanh_lắm""]",giao_đơn đặt_ốp_lưng 20k chuyển_trước quy_định mới tránh mất_mát chuyển_nhầm tài_khoản vip tiền_bị_khóa lỗi kỹ_thuật kích_hoạt lại lấy_tiền_về nhập thông_tin ngân_hàng xác_thực thôi tiền_bị_treo nhanh_lắm
